100.00000000	0.00000000	0.00000000
99.99993825	0.00000524	0.00000000
99.99975301	0.00002096	0.00000000
99.99944428	0.00004716	0.00000000
99.99901206	0.00008385	0.00000000
99.99845634	0.00013103	0.00000000
99.99777713	0.00018869	0.00000000
99.99697444	0.00025684	0.00000000
99.99604826	0.00033549	0.00000000
99.99499860	0.00042464	0.00000000
99.99382545	0.00052430	0.00000000
99.99252883	0.00063447	0.00000000
99.99110873	0.00075667	0.00000000
99.98956516	0.00089682	0.00000000
99.98789812	0.00104890	0.00000000
99.98610762	0.00121285	0.00000000
99.98419366	0.00138868	0.00000000
99.98215625	0.00157645	0.00000000
99.97999538	0.00177613	0.00000000
99.97771108	0.00198772	0.00000000
99.97530333	0.00221124	0.00000000
99.97277215	0.00244672	0.00000000
99.97011755	0.00269413	0.00000000
99.96733952	0.00295349	0.00000000
99.96443808	0.00322984	0.00000000
99.96141324	0.00352699	0.00000000
99.95826500	0.00383719	0.00000000
99.95499337	0.00416053	0.00000000
99.95159835	0.00449695	0.00000000
99.94807996	0.00484645	0.00000000
99.94443821	0.00520909	0.00000000
99.94067310	0.00558486	0.00000000
99.93678464	0.00597375	0.00000000
99.93277285	0.00637579	0.00000000
99.92863773	0.00679102	0.00000000
99.92437929	0.00721939	0.00000000
99.91999754	0.00767387	0.00000000
99.91549250	0.00815170	0.00000000
99.91086418	0.00864392	0.00000000
99.90611258	0.00915054	0.00000000
99.90123772	0.00967168	0.00000000
99.89623961	0.01020728	0.00000000
99.89111826	0.01075733	0.00000000
99.88587369	0.01132189	0.00000000
99.88050590	0.01190099	0.00000000
99.87501492	0.01249457	0.00000000
99.86940075	0.01310268	0.00000000
99.86366341	0.01372539	0.00000000
99.85780292	0.01438359	0.00000000
99.85181928	0.01506275	0.00000000
99.84571252	0.01575769	0.00000000
99.83948264	0.01646832	0.00000000
99.83312967	0.01719461	0.00000000
99.82665361	0.01793667	0.00000000
99.82005449	0.01869450	0.00000000
99.81333232	0.01946805	0.00000000
99.80648712	0.02025736	0.00000000
99.79951890	0.02106254	0.00000000
99.79242768	0.02188348	0.00000000
99.78521349	0.02272115	0.00000000
99.77787633	0.02361509	0.00000000
99.77041622	0.02452621	0.00000000
99.76283319	0.02545450	0.00000000
99.75512725	0.02640010	0.00000000
99.74729842	0.02736302	0.00000000
99.73934673	0.02834315	0.00000000
99.73127218	0.02934056	0.00000000
99.72307480	0.03035540	0.00000000
99.71475462	0.03138751	0.00000000
99.70631164	0.03243691	0.00000000
99.69774590	0.03350378	0.00000000
99.68905741	0.03459876	0.00000000
99.68024619	0.03574011	0.00000000
99.67131227	0.03690000	0.00000000
99.66225567	0.03807850	0.00000000
99.65307641	0.03927546	0.00000000
99.64377452	0.04049092	0.00000000
99.63435000	0.04172512	0.00000000
99.62480290	0.04297785	0.00000000
99.61513324	0.04424910	0.00000000
99.60534102	0.04553908	0.00000000
99.59542630	0.04684771	0.00000000
